Brand Name;"Generic Name ";Drug Classification;Indication or Use
Microns or DiaBeta;glyburide;Sulfonylurea;Type 2 diabetes mellitus
Mobic;meloxicam;NSAID;Osteoarthritis
Mortin;ibuprofen;NSAID;Inflammation
MS Contin;morphine;Opioid analgesic;Analgesic
Namenda;Meantime hydrochloride;NMDA receptor agonist;Alzheimer’s disease
Naprosyn;naproxen;NSAID;Inflammation
Nasacort AQ;triamcinolone;Corticosteroid;Allergic rhinitis
Neurontin;gabapentin;Neurologic;Seizure
Nexium;esomeprazole;PPI;GERD
Nitrostat;nitroglycerin;Vasodilator;Angina
Norvasc;Amlodipine besylate;CCB;Hypertension
Novolog;Insulin aspart;Insulin;Diabetes mellitus
Nyamyc;nystatin;Antifungal;Fungal infection
Oraped;prednisolone;Corticosteroid;Inflammatory disorders
Ortho-Tri-Cyclen Lo;Ethinyl estradiol/norgestimate;Triphasic oral contraceptive;Oral contraceptive
Oxycontin;oxycodone;Opioid;Analgesic
Pacerone;Amiodarone hydrochloride;Antiarrhythmic;Antiarrhythmic
Pamelor;Nortriptyline hydrochloride;TCA;Depression
Paxil;paroxetine;SSRI;Depression
Veetids;Penicillin VK;Penicillin antibiotic;Bacterial infection
Pepcid;Famotidine;H2 blocker;GERD
Phenergan;Promethazine hydrochloride;Antihistamine;Antiemetic
Plaquenil;Hydroxychloroquine sulfate;Aminoquinoline;Antimalarial
Plavix;Clopidogrel bisulfate;Antiplatelet;Thrombotic event prevention
Pradaxa;Dabigatran etexilate mesylate;"Anticoagulant; DOAC";Thrombotic event prevention
Pravachol;Pravastatin;HMG-CoA reductase inhibitor;Hyperlipidemia
Premarin;Estrogens conjugated;Estrogen;Vasomotor symptoms
Prevacid;lansoprazole;PPI;GERD
Prilosec;omeprazole;PPI;GERD
Pristiq;desvenlafaxine;SNRI;Depresssion
ProAir HFA, Proventil HFA, Ventolin HFA;albuterol;Bronchodilator;Asthma
Procardia;Nifedipine;Dihydropyridine CCB;Hypertension
Proscar;finasteride;5 Alpha-reductase inhibitor;BPH
Protonix;Pantoprazole sodium;PPI;GERD
Prozac;Fluoxetine hydrochloride;SSRI;Depression
Pulmicort Respules;budesonide;Corticosteroid;Asthma
Remeron;mirtazapine;Antidepressant;Depression
Requip;Ropinirole hydrochloride;Dopamine agonist;Parkinson’s Disease
Restoril;temazepam;Benzodiazepine;Insomnia
Risperdal;risperidone;Antipsychotic;Schizophrenia
Robaxin;methocarbamol;Skeletal muscle relaxant;Spasticity
Seroquel;Quetiapine fumarate;Antipsychotic;Schizophrenia
Singulair;montelukast;Leukotriene receptor antagonist;Asthma
Slow-Mag;magnesium;Supplement;Magnesium deficiency
Soma;carisoprodol;Muscle relaxant;Skeletal muscle relaxant
Spiriva Handihaler;Tiotropium;Antichholinergic;COPD
Stool softener;docusate;Laxative;Constipation
Symbicort;Budesonide/formoterol;Corticosteroid/beta-2 agonist;Asthma
Synthroid;Levothyroxine sodium;Thyroid hormonehormone;Hypothroidism
Tenoretic;Atenolol/chlorthalidone;Beta-blocker/thiazide combination;Hypertension
Tenormin;Atenolol;Beta-blocker;Hypertension
Tessalon Perles benzonatate;Benzonatate;Antitussive;Cough
Thalitone;chlorthalidone;Thiazide diuretic;Hypertension
Topamax;topiramate;Antiepileptic;Seizures
Travatan;travoprost;Prostaglandin analogue;Glaucoma
Tricor;Fenofibrate;Fibrate;Hyperlipidemia
Trileptal;oxcarbazepine;Antiepileptic;Partial seizures
Tylenol;Acetaminophen;Nonopioid analgesic;Analgesic
Ultram;Tramadol hydrochloride;Opioid;Analgesic
Vagifem;estradiol;Estrogen;Vulvovaginal atrophy
Valium;diazepam;Benzodiazepine;Anxiety
Valtrex;valacyclovir;Antiviral;Viral infection
Vasotec;Enalapril maleate;ACE inhibitor;Hypertension
Vibramycin;Doxycycline hyclate;Tetracycline antibiotic;Bacterial infection
Vicodin;Acetaminophen/hydrocodone bitartrate;Opioid combination;Analgesic
Victoza;liraglutide;GLP-1 receptor agonist;Type 2 diabetes mellitus
Vistaril;Hydroxyzine;H1 antagonist;Allergies
Vitamin B12;cyanocobalamin;Vitamin;Vitamin B12 deficiency
Vitamin D 50,0000;Ergocalciferol;Vitamin;Vitamin D deficiency
Vitamin D3;Cholecalciferol/alpha-tocopherol;Vitamin;Vitamin D deficiency
Voltaren;diclofenac;NSAID;Analgesic
Vytorin;Ezetimibe/simvastatin;HMG-CoA reductase combination;Hypercholesterolemia
Vyvanse;lisdexamfetamine;CNS stimulant;ADHD
Wellbutrin XL;Bupropion;Antidepressant;Depression
Xalatan;latanoprost;Prostaglandin analogue;Glaucoma
Xanax;Alprazolam;Benzodiazepine;Anxiety
Xarelto;rivaroxaban;DOAC;Anticoagulant
Xyzal;Levocetirizine dihydrochloride;H1 antagonist;Allergies
Zanaflex;Tizanidine;Alpha-2 agonist;Muscle relaxant
Zantac;ranitidine;H2 blocker;GERD
Zestoretic;Hydrochlorothiazide/lisinopril;ACE inhibitor/thiazide combination;Hypertension
Zestril or Prinivil;lisinopril;ACE inhibitor;Hypertension
Zetia;ezetimibe;Cholesterol absorption inhibitor;Hyperlipidemia
Zithromax;azithromycin;Macrolide antibiotic;Bacterial infection
Zocor;simvastatin;HMG-CoA reductase inhibitor;Hyperlipidemia
Zofran;Ondansetron;5-hT3 receptor antagonist;Antiemetic
Zoloft;Sertraline hydrochloride;SSRI;Depression
Zovirax;acyclovir;Antiviral;Viral infection
Zyloprim;Allopurinol;Xanthine oxidase inhibitor;Gout
